date,year,month,day,hour,PM2.5,PM10,SO2,NO2,O3,Temprature,Pressure,RAIN
2013-03-01,2013,March,Monday,0,4.0,4.0,14.0,20.0,69.0,-0.7,1023.0,0.0
2013-03-01,2013,March,Monday,1,4.0,4.0,13.0,17.0,72.0,-1.1,1023.2,0.0
2013-03-01,2013,March,Monday,2,3.0,3.0,10.0,19.0,69.0,-1.1,1023.5,0.0
2013-03-01,2013,March,Monday,3,3.0,6.0,7.0,24.0,62.0,-1.4,1024.5,0.0
2013-03-01,2013,March,Monday,4,3.0,6.0,5.0,14.0,71.0,-2.0,1025.2,0.0
2013-03-01,2013,March,Monday,5,3.0,6.0,6.0,14.0,71.0,-2.2,1025.6,0.0
2013-03-01,2013,March,Monday,6,6.0,6.0,6.0,20.0,66.0,-2.6,1026.5,0.0
2013-03-01,2013,March,Monday,7,3.0,3.0,7.0,26.0,61.0,-1.6,1027.4,0.0
2013-03-01,2013,March,Monday,8,3.0,6.0,9.0,37.0,50.0,0.1,1028.3,0.0
2013-03-01,2013,March,Monday,9,7.0,11.0,9.0,30.0,58.0,1.2,1028.5,0.0
2013-03-01,2013,March,Monday,10,3.0,8.0,11.0,26.0,65.0,1.9,1028.2,0.0
2013-03-01,2013,March,Monday,11,3.0,6.0,8.0,23.0,70.0,2.9,1028.2,0.0
2013-03-01,2013,March,Monday,12,7.0,14.0,6.0,23.0,73.0,3.9,1027.3,0.0
2013-03-01,2013,March,Monday,13,12.0,14.0,4.0,20.0,78.0,5.3,1026.2,0.0
2013-03-01,2013,March,Monday,14,14.0,16.0,4.0,21.0,79.0,6.0,1025.9,0.0
2013-03-01,2013,March,Monday,15,12.0,21.0,3.0,21.0,79.0,6.2,1025.7,0.0
2013-03-01,2013,March,Monday,16,13.0,22.0,5.0,21.0,78.0,5.9,1025.6,0.0
2013-03-01,2013,March,Monday,17,9.0,28.0,6.0,27.0,70.0,4.3,1026.3,0.0
2013-03-01,2013,March,Monday,18,10.0,21.0,8.0,35.0,61.0,3.1,1027.4,0.0
2013-03-01,2013,March,Monday,19,13.0,17.0,3.0,43.0,52.0,2.3,1028.3,0.0
2013-03-01,2013,March,Monday,20,12.0,14.0,14.0,41.0,52.0,1.7,1029.1,0.0
2013-03-01,2013,March,Monday,21,11.0,14.0,24.0,51.0,42.0,0.6,1030.1,0.0
2013-03-01,2013,March,Monday,22,10.0,15.0,11.0,60.0,31.0,0.9,1030.5,0.0
2013-03-01,2013,March,Monday,23,13.0,15.0,11.0,51.0,37.0,-0.2,1030.5,0.0
2013-03-02,2013,March,Tuesday,0,6.0,15.0,16.0,44.0,46.0,-0.4,1031.0,0.0
2013-03-02,2013,March,Tuesday,1,3.0,8.0,14.0,33.0,57.0,-1.0,1031.3,0.0
2013-03-02,2013,March,Tuesday,2,4.0,6.0,13.0,26.0,62.0,-1.5,1030.9,0.0
2013-03-02,2013,March,Tuesday,3,3.0,6.0,12.0,32.0,79.0,-1.4,1030.6,0.0
2013-03-02,2013,March,Tuesday,4,3.0,6.0,9.0,45.5,51.0,-1.5,1030.8,0.0
2013-03-02,2013,March,Tuesday,5,3.0,6.0,15.0,59.0,32.0,-1.8,1030.1,0.0
2013-03-02,2013,March,Tuesday,6,3.0,6.0,13.0,59.0,30.0,-2.5,1029.6,0.0
2013-03-02,2013,March,Tuesday,7,3.0,6.0,27.0,72.0,17.0,-1.7,1029.8,0.0
2013-03-02,2013,March,Tuesday,8,3.0,6.0,27.0,70.0,21.0,-0.4,1029.6,0.0
2013-03-02,2013,March,Tuesday,9,3.0,8.0,10.0,42.0,49.0,0.6,1029.7,0.0
2013-03-02,2013,March,Tuesday,10,3.0,6.0,14.0,48.0,44.0,1.7,1028.9,0.0
2013-03-02,2013,March,Tuesday,11,3.0,11.0,17.0,62.0,32.0,2.2,1028.2,0.0
